URL;Codigo_FincaRaiz;Tipo_Inmueble;Estado;Precio_Venta;Administracion;Ubicacion;Estrato;Area_Metros;Area_Construida;Area_Privada;Habitaciones;Banos;Parqueaderos;Antiguedad;Piso_Nro;Cantidad_Pisos;Comodidades;Descripcion;Latitud;Longitud
https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193542284;193542284,0;Apartamento;Usado;480000000,0;370000,0;Usaquen, Bogotá, d.c. | Cedritos, Bogotá, d.c.;4,0;60,0;60,0;60,0;1,0;2,0;1,0;1 a 8 años;14,0;1,0;Ascensor, Balcón, Barra estilo americano, Baño Auxiliar, Canchas Deportivas, Circuito cerrado de TV, Loft, Oficina de negocios, Parqueadero Visitantes, Parques cercanos, Portería / Recepción, Salón Comunal;VENDO LINDO Y AMPLIO APARTAESTUDIO, Ubicado en Cedritos. Excelente vista, piso 14. Conjunto Residencial Panorama 140, construido hace 9 años. Area construida 60m2, excelentes acabados. Una habitación con walking closet, baño de alcoba y baño social. Con balcón con dirección al occidente. Cocina abierta a sala comedor integrada. Zona de ropas independiente. Parqueadero cubierto y deposito. El conjunto cuenta con Recepción, vigilancia 24/7, teatrino, parque infantil, salón Wifi, auditorio, dos salas de juntas, dos porterías, salón múltiple con cocina y deposito, turco, sauna, gimnasio, ludoteca, salón de juegos, capilla, plaza de café. Shut de basuras.;4,7209217;-74,0397027
https://www.fincaraiz.com.co/apartamento-en-venta-en-el-contador-bogota/193438108;193438108,0;Apartamento;Usado;650000000,0;746000,0;Usaquen, Bogotá, d.c. | La Calleja, Bogotá, d.c.;5,0;89,0;89,0;89,0;3,0;2,0;2,0;1 a 8 años;5,0;;Acceso Pavimentado, Asador, Ascensor, Balcón, Baño Auxiliar, Baño Independiente, Depósito / Bodega, En conjunto cerrado, Garaje(s), Parques cercanos, Terraza, Trans. Público cercano;Hermoso apartamento esquinero ubicado en el piso 5, en el prestigioso barrio Contador con area de 89,5 m², este espacio se destaca por su excelente iluminación, entrada de sol al mediodía y en la tarde, y una agradable vista. Cuenta con 3 habitaciones, 2 baños y medio, zona social en un  solo ambiente con balcón, 2 parqueaderos en línea y deposito. El edificio ofrece terraza BBQ, salón comunal. Propiedad en estrato 5 ideal para quienes buscan comodidad y buena ubicación. ZS-1213;4,7177673;-74,0463985
https://www.fincaraiz.com.co/apartamento-en-venta-en-gran-granada-bogota/193544568;193544568,0;Apartamento;Usado;480000000,0;;El dorado, Bogotá, d.c.;4,0;85,0;85,0;85,0;3,0;2,0;1,0;1 a 8 años;12,0;;Acceso Pavimentado, Ascensor, Balcón, Baño Auxiliar, Baño Independiente, Calentador, Hall de Alcobas, Instalación de gas, Parqueadero Visitantes, Parques cercanos, Planta Eléctrica, Portería / Recepción;Este moderno apartamento ubicado en piso 12 en el sector de Gran Granada, en la ciudad de Bogotá, es una excelente opción en estrato 4 para quienes buscan comodidad, buena ubicación y una agradable vista.El inmueble cuenta con sala-comedor con balcón, cocina integral, estudio o estar de TV, 3 habitaciones y 2 baños, además de garaje y depósito, ofreciendo espacios bien distribuidos, iluminados y funcionales para la vida familiar. Su ubicación en piso alto permite disfrutar de mayor tranquilidad y ventilación natural.Se encuentra en una zona estratégica con fácil acceso a vías principales como la Calle 80 y la Avenida Ciudad de Cali, además de cercanía a comercio, supermercados, colegios y zonas de interés, lo que garantiza excelente conectividad y calidad de vida.Contáctanos para recibir más información y agendar tu visita.;4,7240525;-74,1311063
https://www.fincaraiz.com.co/apartamento-en-venta-en-ciudad-salitre-bogota/193459277;193459277,0;Apartamento;Usado;560000000,0;438000,0;Normandia, Bogotá, d.c.;4,0;62,0;62,0;56,0;1,0;2,0;1,0;1 a 8 años;12,0;1,0;Ascensor, Balcón, Barra estilo americano, Baño Auxiliar, Caldera, Citófono, Instalación de gas, Oficina de negocios, Parqueadero Visitantes, Parques cercanos, Planta Eléctrica, Portería / Recepción;Venta de apartamento en Ciudad Salitre, cuenta con una ubicación privilegiada, rodeado de centros comerciales como Gran Estación y Salitre Plaza, almacenes de grandes superficies, embajadas, avenidas, una gran oferta hotelera, a 10 minutos del Aeropuerto El Dorado. El apartamento está ubicado en el piso 12 con una gran vista, consta de: Hall recibidor, baño social, depósito, cocina abierta con barra estilo americano (comedor auxiliar),  zona de lavandería cerrada (con espacio para torre de lavado), sala-comedor con balcón, habitación con baño en suite y walk in closet, parqueadero cubierto y caldera (Los servicios de agua y gas están incluidos en la admón), ventanas y puertas corredizas termoacústicas.  Zonas comunes: Terraza con vista 360, Senderos peatonales, terraza club, BBQs, gimnasio, lavandería comunal, parque Infantil, área de fogatas, gimnasio al aire libre, salón comunal y business center, parqueadero de visitantes y dos ascensores. Ven a conocerlo!;4,6643694659476;-74,10940819682
https://www.fincaraiz.com.co/apartamento-en-venta-en-el-chico-bogota/192634293;192634293,0;Apartamento;Usado;856715000,0;;El chico, Bogotá, d.c.;6,0;56,0;;51,0;2,0;2,0;2,0;1 a 8 años;6,0;1,0;Ascensor, Balcón, Baño Independiente, Citófono, Closet, Cocina Integral, Parqueadero Visitantes, Parques cercanos, Portería / Recepción, Salón Comunal, Terraza, Trans. Público cercano;Código. nueve tres uno uno ocho dos ocho .Te presentamos esta oportunidad apartamentos para estrenar en el Proyecto Amazonia 96, en uno de los sectores más reconocidos de la ciudad, Chico Norte.Amazonia 96 es un proyecto exclusivo de vivienda, ubicado en Chicó Norte en la Calle 96 # 19a  Cuenta con apartaestudios y apartamentos que van desde 28m2 hasta 162m2. Cuenta con más de 1.000 m2 en zonas comunes como: TEATRINO, GYM, COWORKING, COCINA LOUNGE, ROOFTOP Y LAVANDERÍA.Amazonia cuenta con la siguiente forma de pago: Cuota inicial del 30% y el restante 70% se paga contra entrega. Los pagos pueden ser con recursos propios o a través de un crédito.La compra de los apartamentos se realiza con fiducia y sus precios están sujetos al crecimiento porcentaje del salario mínimo.;4,6837468;-74,0546671
https://www.fincaraiz.com.co/apartamento-en-venta-en-bosques-del-marques-bogota/192047962;192047962,0;Apartamento;Usado;610000000,0;;Usaquen, Bogotá, d.c. | Altos de Bella Suiza, Bogotá, d.c.;4,0;93,0;93,0;85,0;3,0;2,0;2,0;1 a 8 años;3,0;;Ascensor, Balcón, Barra estilo americano, Caldera, Circuito cerrado de TV, Citófono, Oficina de negocios, Parques cercanos, Portería / Recepción, Sauna / Turco / Jacuzzi, Sauna / Turco / Jacuzzi, Supermercados / C.Comerciales;Apartamento de 93mts2 con excelente ubicación (127C arriba de la septima). Está distribuido en 3 habitaciones, 2 baños, cocina abierta, zona de lavandería y balcón. Cuenta con 2 parqueaderos, ventanas de piso a techo, entrada biometrica y luces con ajuste de intensidad. Disponible a partir del 1 de Abril 2026.;4,7051075;-74,0254979
https://www.fincaraiz.com.co/apartamento-en-venta-en-alameda-bogota/192790443;192790443,0;Apartamento;Usado;230000000,0;157400,0;Alameda, Bogotá, d.c.;3,0;47,0;;;3,0;2,0;;1 a 8 años;10,0;1,0;Ascensor, Balcón, Gimnasio, Trans. Público cercano, Vista panorámica, Zona de BBQ, Zona Residencial;¡Oportunidad única en el piso 10 del conjunto en Alameda - Fontibón! Acogedor apartamento de 47 m² con 3 alcobas, 2 baños, vista exterior con sol de la tarde y parqueadero comunal. Ideal para familias, en estrato 3 y con tan solo 3 años de construido, ofrece excelentes zonas comunes como piscina, gimnasio, BBQ, salón de juegos para niños y adultos (billar, ping pong, Xbox), cancha de microfútbol y parque infantil.;4,696005342852;-74,167490775775
https://www.fincaraiz.com.co/apartamento-en-venta-en-chico-norte-bogota/192358811;192358811,0;Apartamento;Usado;640000000,0;500000,0;Chico norte, Bogotá, d.c.;6,0;63,0;;;1,0;2,0;2,0;1 a 8 años;2,0;1,0;Ascensor, Balcón, Baño Auxiliar, Caldera, Cancha de Squash, Canchas Deportivas, Parqueadero Visitantes, Parques cercanos, Patio, Planta Eléctrica, Portería / Recepción, Sala de internet;VENDO moderno apartaestudio en CHICÓ (calle 96 con 19A), casi que para estrenar (2 años de construido) con muy buena luz y una agradable terraza de 12 metros. Piso 2 * 52 metros más 12 de terraza * ⁠1 alcoba con baño privado * ⁠Sala comedor con salida a terraza * ⁠Espacio para estudio * ⁠Cocina abierta con lavavajillas eléctrico * ⁠Zona de lavandería * ⁠2 parqueaderos en línea* ⁠Depósito * ⁠2 años de construido Edificio con vigilancia 24/7, coworking, gimnasio, zonas húmedas, cancha de squash, cava de vinos, salón social, sports bar café, zona infantil,  caldera, planta eléctrica y parqueaderos de visitantes. Ubicado en zona residencial muy cerca a comercio. VENTA: $ ***ADMIN: $ 500.000;4,6834086;-74,0534144
https://www.fincaraiz.com.co/apartamento-en-venta-en-balmoral-bogota/193287113;193287113,0;Apartamento;Usado;257000000,0;183000,0;Bosa, Bogotá, d.c. | Madelena, Bogotá, d.c.;3,0;42,0;42,0;42,0;2,0;2,0;;1 a 8 años;7,0;12,0;Ascensor, Balcón, Circuito cerrado de TV, Citófono, Cocina Integral, Colegios / Universidades, Salón de Juegos, Supermercados / C.Comerciales, Trans. Público cercano, Vigilancia, Vista panorámica, Zona Comercial;Lindo apartamento en el sector de Madelena completamente terminado, ubicación estratégica entre la autopista sur y la avenida Villaviecencio. Fácil acceso a transporte, estación de transmilenio a meno de 5 minutos. El conjunto cuenta con piscina, zonas verdes, zonas sociales, parque infantil.Se aceptan permutas por propiedades en IBAGUÉ.;4,5950561;-74,1623979
https://www.fincaraiz.com.co/apartamento-en-venta-en-engativa-bogota/192255763;192255763,0;Apartamento;Usado;480000000,0;100000,0;Engativá, Bogotá, d.c.;3,0;74,0;74,0;73,0;3,0;2,0;1,0;1 a 8 años;3,0;;Ascensor, Balcón, Baño Auxiliar, Calentador, Cocina Integral, Colegios / Universidades, Instalación de gas, Parques cercanos, Supermercados / C.Comerciales, Terraza, Trans. Público cercano, Zona de lavandería;EN SANTA MARIA DEL LAGO. ESTUPENDO APARTAMENTO ESQUINERO EN VENTA DE 74 METROS CUADRADOS, CUARTO PISO COMPLETAMENTE TERMINADO CON LA MEJOR VISTA E  ILUMINACION NATURAL, DOS BALCONES, TRES HABITACIONES, DOS BAÑOS, SALA COMEDOR, COCINA INTEGRAL, ZONA DE LAVANDERIA, PARQUEADERO PRIVADO, ASCENSOR. EXCELENTE UBICACION, VIAS DE ACCESO Y TRANSPORTE PUBLICO.;4,694175;-74,093065
