X,Y,OBJECTID,FECHA_INCIDENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.1858200999999,4.61286660015154,1,2025/01/01 00:00:00+00,4.6128666,-74.1858201,Calle 60C sur con Carrera 81D,Bosa,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Andén (1)
-74.0756646999999,4.65438270015287,2,2025/01/01 00:00:00+00,4.6543827,-74.0756647,Carrera 28 con Calle 63C,Barrios Unidos,Autolesionado,Motociclista lesionado (1)
-74.1175524,4.52137920014857,3,2025/01/01 00:00:00+00,4.5213792,-74.1175524,Calle 71 sur con Carrera 14 bis,Ciudad Bolívar,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.1247157,4.47222550014692,4,2025/01/01 00:00:00+00,4.4722255,-74.1247157,Calle 137 sur con Carrera 11A,Usme,Autolesionado,Motociclista lesionado (1)
-74.0982346,4.56126610014986,5,2025/01/01 00:00:00+00,4.5612661,-74.0982346,"Calle 69A sur con Carrera 3B, sentido s?n",Usme,Autolesionado,Motociclista lesionado (1)
-74.1560782,4.5781227001504,6,2025/01/01 00:00:00+00,4.5781227,-74.1560782,"Av Ciudad de Villavicencio con Carrera 49, sentido n?s",Ciudad Bolívar,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1) - Acompañante lesionado (1)
-74.125267,4.67204830015343,7,2025/01/01 00:00:00+00,4.6720483,-74.125267,"Av La Esperanza con Av Ciudad de Cali, sentido or?occ",Fontibón,Choque con lesionado,Motociclista lesionado (2) - Acompañante lesionado (1)
-74.1626353,4.61508190015161,8,2025/01/01 00:00:00+00,4.6150819,-74.1626353,Av Ciudad de Villavicencio con Av Primero de Mayo,Kennedy,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.1450566999999,4.56123570014984,9,2025/01/01 00:00:00+00,4.5612357,-74.1450567,Carrera 19D con Calle 64 sur,Ciudad Bolívar,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1)
-74.1436371,4.59991480015108,10,2025/01/01 00:00:00+00,4.5999148,-74.1436371,Calle 43C sur con Carrera 3D este,Santa Fe,Choque con objeto fijo,Automóvil particular (1) - Vivienda (1)
-74.0941278,4.720592300155,11,2025/01/01 00:00:00+00,4.7205923,-74.0941278,Carrera 93 con Calle 127C,Suba,Choque simple,Automóvil particular (1) - Bicicleta (1)
-74.1757704999999,4.62913750015208,12,2025/01/01 00:00:00+00,4.6291375,-74.1757705,"Calle 48 sur con Carrera 87, sentido occ?or",Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0995258,4.68112570015375,13,2025/01/01 00:00:00+00,4.6811257,-74.0995258,Av Boyacá con Calle 66A,Engativá,Choque con lesionado,Automóvil particular (1) - Conductor lesionado (1) - Acompañante lesionado (1)
-74.1382177,4.5442739001493,14,2025/01/01 00:00:00+00,4.5442739,-74.1382177,Calle 73A bis sur con Carrera 17B,Ciudad Bolívar,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.0523241,4.72172940015509,15,2025/01/01 00:00:00+00,4.7217294,-74.0523241,Calle 136 con Carrera 45A,Suba,Choque objeto fijo con lesionado,Camioneta (1) - Taxi (1) - Vivienda (1)
-74.1618746,4.60232070015119,16,2025/01/01 00:00:00+00,4.6023207,-74.1618746,Autopista Sur con Av Ciudad de Villavicencio,Bosa,Choque con lesionado,Taxi (1) - Ciclista lesionado (1)
-74.0832329,4.72251700015508,17,2025/01/01 00:00:00+00,4.722517,-74.0832329,Carrera 14 con Calle 129 sur,Usme,Fallecido en vía (980),Taxi (1) - Motociclista fallecido (1)
-74.1604656,4.57104640015017,18,2025/01/01 00:00:00+00,4.5710464,-74.1604656,Carrera 45C con Calle 70C sur,Ciudad Bolívar,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.1500230999999,4.57467780015031,19,2025/01/01 00:00:00+00,4.5746778,-74.1500231,Carrera 42A con Calle 58C sur,Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.0438978,4.69753730015425,20,2025/01/01 00:00:00+00,4.6975373,-74.0438978,Av Caracas con Calle 118,Usme,Autolesionado,Motociclista lesionado (1)
-74.1414257,4.67642990015362,21,2025/01/01 00:00:00+00,4.6764299,-74.1414257,Av Centenario (Calle 13) con Carrera 100,Fontibón,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1278354999999,4.71291910015475,22,2025/01/01 00:00:00+00,4.7129191,-74.1278355,Calle 68C con Carrera 112A,Engativá,Atropello,Camión (1) - Peatón (2)
-74.0719594999999,4.60983350015141,23,2025/01/01 00:00:00+00,4.6098335,-74.0719595,"Calle 23 con Carrera 10, sentido or?occ",Santa Fe,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.0321872,4.72532500015519,24,2025/01/01 00:00:00+00,4.725325,-74.0321872,Carrera 9 con Calle 147,Usaquén,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1)
-74.1712697999999,4.6242949001519,25,2025/01/01 00:00:00+00,4.6242949,-74.1712698,Calle 46 sur con Carrera 81H,Kennedy,Choque simple,Camioneta (1) - Motocicleta (1)
-74.0900551,4.58214110015054,26,2025/01/01 00:00:00+00,4.5821411,-74.0900551,Carrera 10 con Calle 69F sur,Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1430988,4.59774480015103,27,2025/01/01 00:00:00+00,4.5977448,-74.1430988,Calle 44 sur con Carrera 68G,Kennedy,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1) - Acompañante lesionado (1)
-74.1689884,4.58967500015078,28,2025/01/01 00:00:00+00,4.589675,-74.1689884,"Calle 62D sur con Carrera 73, sentido or?occ",Ciudad Bolívar,Choque simple,Taxi (1) - Automóvil particular (1)
-74.1863038,4.6115853001515,29,2025/01/01 00:00:00+00,4.6115853,-74.1863038,Carrera 81B con Calle 63 sur,Bosa,Choque simple,Automóvil particular (2)
-74.1261608999999,4.58106530015047,30,2025/01/01 00:00:00+00,4.5810653,-74.1261609,Carrera 13B este con Calle 44 sur,San Cristóbal,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1747731,4.63624320015226,31,2025/01/01 00:00:00+00,4.6362432,-74.1747731,Carrera 89B con Av Ciudad de Villavicencio,Kennedy,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1)
-74.1446698,4.63084260015211,32,2025/01/01 00:00:00+00,4.6308426,-74.1446698,"Carrera 78 con Calle 6 sur, sentido n?s",Kennedy,Choque con lesionado,Motociclista lesionado (2)
-74.1021969,4.68651680015393,33,2025/01/01 00:00:00+00,4.6865168,-74.1021969,"Calle 68B sur con Carrera 77, sentido occ?or",Ciudad Bolívar,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Pared / muro (1)
-74.0848505,4.58922360015073,34,2025/01/01 00:00:00+00,4.5892236,-74.0848505,"Carrera 10 con Calle 1 sur, sentido n?s",Antonio Nariño,Choque con lesionado,Motociclista lesionado (2)
-74.1602568,4.63484920015227,35,2025/01/01 00:00:00+00,4.6348492,-74.1602568,"Diagonal 34B sur con Carrera 83, sentido or?occ",Kennedy,Autolesionado,Motociclista lesionado (1)
-74.1303513,4.60673660015131,36,2025/01/01 00:00:00+00,4.6067366,-74.1303513,"Av Carrera 68 con Calle 31 sur, sentido s?n",Kennedy,Autolesionado,Motociclista lesionado (1)
-74.0900551,4.58214110015054,37,2025/01/01 00:00:00+00,4.5821411,-74.0900551,"Carrera 10 con Calle 69F sur, sentido s?n",Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0702606,4.62390120015187,38,2025/01/01 00:00:00+00,4.6239012,-74.0702606,"Calle 35 con Carrera 15, sentido or?occ",Teusaquillo,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1020568,4.59831210015105,39,2025/01/01 00:00:00+00,4.5983121,-74.1020568,"Carrera 28 con Calle 1D, sentido n?s",Los Mártires,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.0225268,4.7469843001559,40,2025/01/01 00:00:00+00,4.7469843,-74.0225268,"Av Carrera 7 con Calle 170, sentido s?n",Usaquén,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1560782,4.5781227001504,41,2025/01/01 00:00:00+00,4.5781227,-74.1560782,"Av Ciudad de Villavicencio con Carrera 49, sentido or?occ",Ciudad Bolívar,Volcamiento con lesionado,Automóvil particular (1) - Acompañante lesionado (2) - Taxi (1)
-74.1654027,4.5751828001503,42,2025/01/01 00:00:00+00,4.5751828,-74.1654027,"Transversal 52 con Calle 2, sentido s?n",Puente Aranda,Choque simple,Automóvil particular (2)
-74.1232666,4.70234950015441,43,2025/01/01 00:00:00+00,4.7023495,-74.1232666,"Carrera 105F con Calle 69, sentido s?n",Engativá,Choque con objeto fijo,Automóvil particular (1) - Puente vehicular / peatonal (1)
-74.096526,4.71437380015481,44,2025/01/01 00:00:00+00,4.7143738,-74.096526,"Carrera 91 con Calle 93, sentido s?n",Engativá,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.1536439,4.56335930014992,45,2025/01/01 00:00:00+00,4.5633593,-74.1536439,"Calle 69 sur con Carrera 20F, sentido or?occ",Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.1278397999999,4.62923470015205,46,2025/01/01 00:00:00+00,4.6292347,-74.1278398,"Av Américas con Carrera 68F, sentido occ?or",Kennedy,Choque con lesionado,Taxi (1) - Ciclista lesionado (1)
-74.1672536999999,4.61119980015149,47,2025/01/01 00:00:00+00,4.6111998,-74.1672537,"Carrera 78G con Calle 51 sur, sentido n?s",Kennedy,Choque con objeto fijo,Automóvil particular (1) - Poste (1)
-74.0506096999999,4.75269360015607,48,2025/01/01 00:00:00+00,4.7526936,-74.0506097,Carrera 111 con Calle 170,Suba,Autolesionado,Ciclista lesionado (1)
-74.1096143999999,4.63204950015215,49,2025/01/01 00:00:00+00,4.6320495,-74.1096144,"Carrera 57 con Calle 15, sentido s?n",Puente Aranda,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0720919999999,4.71098860015473,50,2025/01/01 00:00:00+00,4.7109886,-74.072092,"Av Boyacá con Carrera 18, sentido s?n",Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.1446771,4.59538640015096,51,2025/01/01 00:00:00+00,4.5953864,-74.1446771,"Autopista Sur con Av Boyacá, sentido s?n",Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.1746042999999,4.59645690015096,52,2025/01/01 00:00:00+00,4.5964569,-74.1746043,"Autopista Sur con Carrera 54A, sentido or?occ",Kennedy,Choque simple,Automóvil particular (2)
-74.0927895,4.54751830014938,53,2025/01/01 00:00:00+00,4.5475183,-74.0927895,"Calle 43 sur con Carrera 6 este, sentido occ?or",San Cristóbal,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.1232035,4.74552320015582,54,2025/01/01 00:00:00+00,4.7455232,-74.1232035,"Calle 138 con Carrera 151C, sentido n?s",Suba,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1)
-74.1423288999999,4.65151080015277,55,2025/01/01 00:00:00+00,4.6515108,-74.1423289,"Carrera 82B con Calle 11B, sentido s?n",Kennedy,Autolesionado,Motociclista lesionado (1)
-74.0706701,4.7040882001545,56,2025/01/01 00:00:00+00,4.7040882,-74.0706701,"Av Suba con Carrera 80, sentido or?occ",Suba,Autolesionado,Motociclista lesionado (1)
-74.1770326,4.62593970015197,57,2025/01/01 00:00:00+00,4.6259397,-74.1770326,"Av Ciudad de Cali con Calle 49 sur, sentido s?n",Bosa,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1)
-74.0945174999999,4.71009170015466,58,2025/01/01 00:00:00+00,4.7100917,-74.0945175,"Av Ciudad de Cali con Calle 90, sentido s?n",Engativá,Varado,Camioneta (1)
