X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.0228792,4.76709710000006,1,Carrera 2 con Calle 190,Usaquén,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7670971,-74.0228792
-74.0428651999999,4.75898440000003,2,"Diagonal 182 con Carrera 19, sentido occ→or",Usaquén,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7589844,-74.0428652
-74.0288935,4.75881860000004,3,Calle 182 con Carrera 8,Usaquén,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7588186,-74.0288935
-74.0555204,4.75879370000007,4,Calle 175 con Carrera 57,Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7587937,-74.0555204
-74.0466494999999,4.75350600000007,5,Calle 170 con Autopista Norte,Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.753506,-74.0466495
-74.0466671,4.75317820000004,6,"Autopista Norte con Calle 92, sentido s→n",Chapinero,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.7531782,-74.0466671
-74.0466671,4.75317820000004,7,Autopista Norte con Calle 92,Chapinero,"Material sólido en vía (arena, grava, otros)",Sin lesionados,2026/01/01 00:00:00+00,4.7531782,-74.0466671
-74.0894304999999,4.74785060000005,8,Calle 150A con Carrera 100,Suba,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.7478506,-74.0894305
-74.0274884999999,4.74764330000005,9,"Carrera 8 con Calle 170, sentido s→n",Usaquén,Volcamiento con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7476433,-74.0274885
-74.1218421,4.74600000000004,10,Calle 138 con Carrera 151 bis,Suba,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.746,-74.1218421
-74.1200494999999,4.74421010000003,11,"Calle 132D con Carrera 149C, sentido n→s",Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7442101,-74.1200495
-74.1256473999999,4.74381750000003,12,Carrera 154A bis con Calle 132,Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7438175,-74.1256474
-74.0977463,4.74324420000005,13,Av Ciudad de Cali con Calle 140A,Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7432442,-74.0977463
-74.0653115,4.74256590000005,14,Av Boyacá con Calle 153,Suba,Falla semafórica,Sin lesionados,2026/01/01 00:00:00+00,4.7425659,-74.0653115
-74.1056452999999,4.73914400000007,15,Calle 132C con Carrera 118,Suba,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.739144,-74.1056453
-74.1010419,4.73913730000004,16,Calle 135 con Carrera 107B,Suba,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7391373,-74.1010419
-74.0887205,4.72788560000004,17,Carrera 91 con Calle 130D,Suba,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7278856,-74.0887205
-74.0887205,4.72788560000004,18,Carrera 91 con Calle 130D,Suba,Fallecido hospitalario,Fallecido hospitalario,2026/01/01 00:00:00+00,4.7278856,-74.0887205
-74.0505117,4.72484940000004,19,"Autopista Norte con Calle 142, sentido n→s",Suba,Volcamiento,Sin lesionados,2026/01/01 00:00:00+00,4.7248494,-74.0505117
-74.0733367999999,4.72331850000006,20,"Av Boyacá con Calle 131, sentido n→s",Suba,Choque objeto fijo con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7233185,-74.0733368
-74.1105965,4.72287300000005,21,Calle 86C con Carrera 110C,Engativá,Choque con objeto fijo,Sin lesionados,2026/01/01 00:00:00+00,4.722873,-74.1105965
-74.1072096999999,4.71957900000007,22,Calle 87 con Carrera 103C,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.719579,-74.1072097
-74.0440457,4.71901280000003,23,Calle 135 con Carrera 17,Usaquén,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7190128,-74.0440457
-74.05187,4.71901000000003,24,"Autopista Norte con Calle 134, sentido n→s",Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.71901,-74.05187
-74.1012891999999,4.71675000000005,25,Calle 90 con Carrera 95D,Engativá,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.71675,-74.1012892
-74.0526035,4.71640290000005,26,"Autopista Norte con Calle 130, sentido n→s",Suba,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7164029,-74.0526035
-74.1169237,4.71543560000003,27,"Av Calle 80 con Carrera 107, sentido or→occ",Engativá,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7154356,-74.1169237
-74.1040007,4.71532260000004,28,Calle 87 con Carrera 95F,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7153226,-74.1040007
-74.1368791,4.71395860000007,29,Carrera 117A con Calle 69,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7139586,-74.1368791
-74.1401491999999,4.71130730000004,30,Calle 64 con Carrera 117,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7113073,-74.1401492
-74.0720919999999,4.71098860000006,31,Carrera 13B con Calle 64 sur,San Cristóbal,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,32,Calle 53 con Carrera 36,Teusaquillo,Atropello,Con lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,33,-,Bosa,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,34,"Av Carrera 68 con Calle 1C, sentido s→n",Puente Aranda,Atropello,Con lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,35,Carrera 1 con Calle 21,Santa Fe,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,36,Carrera 1 con Calle 21,Santa Fe,"Sustancia química en vía (aceite, ACPM, otros)",Sin lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0720919999999,4.71098860000006,37,Av Calle 80 con Carrera 52,Engativá,Falla semafórica,Sin lesionados,2026/01/01 00:00:00+00,4.7109886,-74.072092
-74.0978393,4.70668100000006,38,"Av Ciudad de Cali con Calle 85, sentido s→n",Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.706681,-74.0978393
-74.146093,4.70096940000008,39,Av El Dorado (Calle 26) con Carrera 103,Fontibón,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.7009694,-74.146093
-74.0982357999999,4.70057040000006,40,"Carrera 82 con Calle 80 sur, sentido n→s",Bosa,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.7005704,-74.0982358
-74.0398637,4.69865150000004,41,Carrera 13 con Calle 119,Usaquén,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.6986515,-74.0398637
-74.0826599,4.69736440000003,42,Av Boyacá con Calle 97,Suba,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.6973644,-74.0826599
-74.1045412999999,4.69206450000007,43,Calle 71 con Carrera 82,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.6920645,-74.1045413
-74.1013642999999,4.68836320000003,44,Carrera 77 bis con Calle 70,Engativá,Atropello,Con lesionados,2026/01/01 00:00:00+00,4.6883632,-74.1013643
-74.104883,4.68818910000005,45,Carrera 80 con Calle 68A,Engativá,Varado,Sin lesionados,2026/01/01 00:00:00+00,4.6881891,-74.104883
-74.0869228999999,4.68585450000006,46,Calle 75 con Carrera 69K,Engativá,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.6858545,-74.0869229
-74.0848394,4.68323780000003,47,Calle 75 con Carrera 68H,Kennedy,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.6832378,-74.0848394
-74.0848394,4.68323780000003,48,Calle 75 con Carrera 68H,Kennedy,"Sustancia química en vía (aceite, ACPM, otros)",Sin lesionados,2026/01/01 00:00:00+00,4.6832378,-74.0848394
-74.0848394,4.68323780000003,49,Calle 75 con Carrera 68H,Engativá,Autolesionado,Con lesionados,2026/01/01 00:00:00+00,4.6832378,-74.0848394
-74.1333875999999,4.68082470000007,50,Av La Esperanza con Carrera 99,Fontibón,Choque simple,Sin lesionados,2026/01/01 00:00:00+00,4.6808247,-74.1333876
-74.1001764,4.68035670000006,51,Av Boyacá con Calle 127,Suba,Choque con lesionado,Con lesionados,2026/01/01 00:00:00+00,4.6803567,-74.1001764
-74.0984222,4.68025360000007,52,Carrera 71B con Calle 66A,Engativá,Choque con objeto fijo,Sin lesionados,2026/01/01 00:00:00+00,4.6802536,-74.0984222
