X,Y,OBJECTID,FECHA_INDICENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.0788166999999,4.60529940015127,1,2025/02/01 00:00:00+00,4.6052994,-74.0788167,Av Caracas con Carrera 5F,Usaquén,Caida de ocupante,Pasajero lesionado (1)
-74.1176169,4.68934720015401,2,2025/02/01 00:00:00+00,4.6893472,-74.1176169,Transversal 93 con Calle 64,Engativá,Autolesionado,Ciclista lesionado (1)
-74.0753314,4.61392260015154,3,2025/02/01 00:00:00+00,4.6139226,-74.0753314,Calle 24 con Carrera 17,Los Mártires,Choque con lesionado,Bus SITP (1) - Motociclista lesionado (1)
-74.0347469,4.76662650015651,4,2025/02/01 00:00:00+00,4.7666265,-74.0347469,Carrera 8 con Calle 189,Usaquén,Autolesionado,Motociclista lesionado (1)
-74.1262389,4.58790190015068,5,2025/02/01 00:00:00+00,4.5879019,-74.1262389,"Av Ciudad de Villavicencio con Av Gaitán Cortés, sentido s?n",Ciudad Bolívar,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0792245,4.60437250015126,6,2025/02/01 00:00:00+00,4.6043725,-74.0792245,"Av Caracas con Calle 14, sentido n?s",Los Mártires,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1086228,4.59990090015108,7,2025/02/01 00:00:00+00,4.5999009,-74.1086228,"Calle 8 sur con Carrera 32A, sentido n?s",Puente Aranda,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.0896913,4.59952230015109,8,2025/02/01 00:00:00+00,4.5995223,-74.0896913,"Av Comuneros con Carrera 26, sentido occ?or",Los Mártires,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1208321,4.57969990015044,9,2025/02/01 00:00:00+00,4.5796999,-74.1208321,Carrera 23C con Calle 40 sur,Rafael Uribe Uribe,Autolesionado,Motociclista lesionado (1)
-74.1029498999999,4.65219300015282,10,2025/02/01 00:00:00+00,4.652193,-74.1029499,Av El Dorado (Calle 26) con Av Ciudad de Cali,Engativá,Choque con lesionado,Motociclista lesionado (2)
-74.0882041,4.58072350015046,11,2025/02/01 00:00:00+00,4.5807235,-74.0882041,Carrera 8 con Calle 11 sur,San Cristóbal,Choque con lesionado,Automóvil particular (2) - Conductor lesionado (1)
-74.1417248,4.63812540015233,12,2025/02/01 00:00:00+00,4.6381254,-74.1417248,Carrera 78 con Calle 8,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1629106999999,4.62261220015183,13,2025/02/01 00:00:00+00,4.6226122,-74.1629107,Calle 42 sur con Av Agoberto Mejía,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.118412,4.58574610015064,14,2025/02/01 00:00:00+00,4.5857461,-74.118412,Carrera 26C con Calle 72B sur,Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.1546491,4.57552270015028,15,2025/02/01 00:00:00+00,4.5755227,-74.1546491,Calle 68 sur con Av Ciudad de Villavicencio,Ciudad Bolívar,Atropello,Camión (1) - Peatón lesionado (1)
-74.0301526,4.69603380015425,16,2025/02/01 00:00:00+00,4.6960338,-74.0301526,"Calle 114 sur con Carrera 6 este, sentido occ?or",Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1067714,4.67116440015344,17,2025/02/01 00:00:00+00,4.6711644,-74.1067714,"Av Boyacá con Calle 53, sentido s?n",Engativá,Choque simple,Automóvil particular (1) - Motocicleta (1)
