X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.1255654999999,4.60590020000006,1,"Av Primero de Mayo con Carrera 52, sentido or→occ",Puente Aranda,Atropello,Motociclista lesionado (1) - Peatón lesionado (2),Con lesionados,2025/06/01 00:00:00+00,4.6059002,-74.1255655
-74.1091443999999,4.64624650000007,2,"Av Primero de Mayo con Av Carrera 68, sentido occ→or",Puente Aranda,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6462465,-74.1091444
-74.1814709,4.63127210000005,3,"Transversal 78L con Calle 51 sur, sentido s→n",Kennedy,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6312721,-74.1814709
-74.0720919999999,4.71098860000006,4,"Av Comuneros con Carrera 23, sentido s→n",Los Mártires,Choque objeto fijo con lesionado,Camioneta (1) - Conductor lesionado (1) - Separador (1),Con lesionados,2025/06/01 00:00:00+00,4.7109886,-74.072092
-74.0788166999999,4.60529940000004,5,"Av Caracas con Calle 101A sur, sentido n→s",Usme,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6052994,-74.0788167
-74.1419342,4.67375880000003,6,Calle 20 con Carrera 98,Fuera perímetro,Fallecido hospitalario,Motociclista fallecido (1),Fallecido hospitalario,2025/06/01 00:00:00+00,4.6737588,-74.1419342
-74.1413128999999,4.58463770000003,7,"Carrera 35A con Calle 54 sur, sentido s→n",Tunjuelito,Choque simple,Camioneta (1) - Bus / buseta (1),Sin lesionados,2025/06/01 00:00:00+00,4.5846377,-74.1413129
-74.1250014999999,4.58694950000006,8,"Carrera 31 bis con Calle 41 sur, sentido s→n",Rafael Uribe Uribe,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/06/01 00:00:00+00,4.5869495,-74.1250015
-74.0921203999999,4.75426000000004,9,"Av Ciudad de Cali con Calle 153, sentido n→s",Suba,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.75426,-74.0921204
-74.1830547,4.61322830000006,10,"Av Bosa con Carrera 81A, sentido occ→or",Bosa,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/01 00:00:00+00,4.6132283,-74.1830547
-74.1684127999999,4.61938570000007,11,"Av Agoberto Mejía con Calle 40 sur, sentido n→s",Kennedy,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/01 00:00:00+00,4.6193857,-74.1684128
-74.1180696,4.52299280000005,12,"Calle 70 sur con Carrera 1, sentido or→occ",Usme,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/06/01 00:00:00+00,4.5229928,-74.1180696
-74.1615088,4.64438410000002,13,"Av Guayacanes con Calle 1, sentido s→n",Kennedy,Choque con lesionado,Automóvil particular (1) - Taxi (1),Con lesionados,2025/06/01 00:00:00+00,4.6443841,-74.1615088
-74.1767306,4.57721510000005,14,"Diagonal 75D sur con Carrera 76, sentido or→occ",Ciudad Bolívar,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.5772151,-74.1767306
-74.1244930999999,4.58569380000006,15,"Calle 41 sur con Carrera 29, sentido or→occ",Rafael Uribe Uribe,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/01 00:00:00+00,4.5856938,-74.1244931
-74.0420583,4.76033950000004,16,Carrera 15 con Calle 183,Usaquén,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7603395,-74.0420583
-74.1196581999999,4.70134860000007,17,"Calle 70 con Carrera 101, sentido occ→or",Engativá,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7013486,-74.1196582
-74.0903876,4.63433500000002,18,"Av El Dorado (Calle 26) con Carrera 4A, sentido or→occ",Santa Fe,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.634335,-74.0903876
-74.0720919999999,4.71098860000006,19,Calle 74 sur con Carrera 38,Ciudad Bolívar,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7109886,-74.072092
-74.1018248999999,4.75164290000004,20,"Carrera 114 con Calle 148, sentido s→n",Suba,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7516429,-74.1018249
-74.102142,4.69783050000007,21,"Carrera 83A con Calle 75, sentido s→n",Engativá,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6978305,-74.102142
-74.1630221999999,4.63462020000003,22,"Av Ciudad de Cali con Calle 38 sur, sentido s→n",Kennedy,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6346202,-74.1630222
-74.1217859,4.74346920000005,23,"Calle 132D con Carrera 151A, sentido or→occ",Suba,Choque con lesionado,Motociclista lesionado (1) - Taxi (1),Con lesionados,2025/06/01 00:00:00+00,4.7434692,-74.1217859
-74.1075589,4.73873960000003,24,"Transversal 124A bis con Calle 131C, sentido n→s",Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7387396,-74.1075589
-74.0694837999999,4.60211880000003,25,"Carrera 4 con Calle 59, sentido n→s",Chapinero,Choque con lesionado,Automóvil particular (1) - Taxi (1),Con lesionados,2025/06/01 00:00:00+00,4.6021188,-74.0694838
-74.1455890999999,4.64054310000006,26,"Carrera 80 con Calle 8, sentido s→n",Kennedy,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Separador (1),Con lesionados,2025/06/01 00:00:00+00,4.6405431,-74.1455891
-74.073793,4.60686560000005,27,"Av Calle 19 con Av Carrera 10, sentido or→occ",Santa Fe,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/01 00:00:00+00,4.6068656,-74.073793
-74.0855923,4.73454090000007,28,Carrera 91 con Calle 136,Suba,Incendio vehicular,Bus / buseta (1),Sin lesionados,2025/06/01 00:00:00+00,4.7345409,-74.0855923
-74.0720919999999,4.71098860000006,29,"Diagonal 76 sur con Carrera 1C, sentido occ→or",Usme,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Pared / muro (1),Con lesionados,2025/06/01 00:00:00+00,4.7109886,-74.072092
-74.1307871,4.71940290000003,30,"Calle 74A con Carrera 119, sentido or→occ",Engativá,Choque con lesionado,Motocarro / Mototriciclo (1) - Automóvil particular (1),Con lesionados,2025/06/01 00:00:00+00,4.7194029,-74.1307871
-74.0563551,4.66781810000003,31,Calle 82 con Carrera 15,Chapinero,Choque simple,Automóvil particular (1) - Taxi (2),Sin lesionados,2025/06/01 00:00:00+00,4.6678181,-74.0563551
-74.1421758,4.59030520000005,32,"Carrera 54 con Calle 51 sur, sentido n→s",Tunjuelito,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.5903052,-74.1421758
-74.1351657,4.66027400000007,33,"Av Ciudad de Cali con Calle 57 sur, sentido s→n",Bosa,Choque con lesionado,Motociclista lesionado (2),,2025/06/01 00:00:00+00,4.660274,-74.1351657
-74.0793295999999,4.63483190000005,34,"NQS con Calle 45, sentido s→n",Teusaquillo,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/06/01 00:00:00+00,4.6348319,-74.0793296
-74.1300668,4.64613250000002,35,"Av Boyacá con Calle 12B, sentido n→s",Kennedy,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),,2025/06/01 00:00:00+00,4.6461325,-74.1300668
-74.1846348,4.61053160000006,36,"Carrera 80I con Calle 61 sur, sentido n→s",Bosa,Choque objeto fijo con lesionado,Automóvil particular (1) - Poste (1),Con lesionados,2025/06/01 00:00:00+00,4.6105316,-74.1846348
-74.1413563,4.59568200000007,37,"Autopista Sur con Calle 44 bis sur, sentido or→occ",Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.595682,-74.1413563
-74.1791813999999,4.62445590000004,38,"Calle 53 sur con Carrera 86A, sentido or→occ",Bosa,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6244559,-74.1791814
-74.0583334999999,4.62474380000003,39,"Av Circunvalar con Calle 39, sentido s→n",Chapinero,Choque objeto fijo con lesionado,Automóvil particular (1) - Pared / muro (1),Con lesionados,2025/06/01 00:00:00+00,4.6247438,-74.0583335
-74.1355645,4.61401950000004,40,Av Primero de Mayo con Carrera 69B,Kennedy,Choque simple,Automóvil particular (1) - Taxi (1),Sin lesionados,2025/06/01 00:00:00+00,4.6140195,-74.1355645
-74.0625168999999,4.65558470000002,41,"Av Caracas con Carrera 13, sentido or→occ",Rafael Uribe Uribe,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6555847,-74.0625169
-74.0958894,4.54614390000006,42,"Carrera 3 con Calle 45, sentido s→n",Chapinero,Choque objeto fijo con lesionado,Automóvil particular (1) - Conductor lesionado (1) - Pared / muro (1),,2025/06/01 00:00:00+00,4.5461439,-74.0958894
-74.0641381,4.64593860000002,43,Carrera 13 con Calle 59 sur,Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6459386,-74.0641381
-74.1835207999999,4.61933960000005,44,"Calle 57B sur con Carrera 84C, sentido or→occ",Bosa,Choque con lesionado,Motociclista lesionado (2),,2025/06/01 00:00:00+00,4.6193396,-74.1835208
-74.1401202,4.68466880000005,45,"Carrera 106 con Calle 23G, sentido or→occ",Fontibón,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6846688,-74.1401202
-74.1262389,4.58790190000002,46,"Av Ciudad de Villavicencio con Av Gaitán Cortés, sentido or→occ",Ciudad Bolívar,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.5879019,-74.1262389
-74.1045687,4.68142310000007,47,"Av El Dorado (Calle 26) con Carrera 75, sentido occ→or",Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6814231,-74.1045687
-74.1615088,4.64438410000002,48,"Av Boyacá con Av Guayacanes, sentido s→n",Kennedy,Atropello,Motociclista lesionado (1) - Peatón lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6443841,-74.1615088
-74.1197076999999,4.63515580000006,49,"Av Carrera 68 con Calle 12, sentido s→n",Kennedy,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6351558,-74.1197077
-74.1152249,4.59567550000003,50,"Transversal 35 con Calle 27B sur, sentido n→s",Puente Aranda,Choque simple,Taxi (2),Sin lesionados,2025/06/01 00:00:00+00,4.5956755,-74.1152249
-74.1391685,4.70963090000004,51,Calle 64 con Carrera 113C,Engativá,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/06/01 00:00:00+00,4.7096309,-74.1391685
-74.0467558,4.67606550000005,52,"Calle 11 con Av Carrera 68, sentido s→n",Kennedy,Choque con objeto fijo,Motociclista lesionado (1) - Separador (1),Con lesionados,2025/06/01 00:00:00+00,4.6760655,-74.0467558
-74.1835207999999,4.61933960000005,53,Av Ciudad de Cali con Calle 57B sur,Bosa,Choque con lesionado,Motociclista lesionado (2),,2025/06/01 00:00:00+00,4.6193396,-74.1835208
-74.2126431,4.62404270000008,54,Carrera 94 con Calle 87 sur,Bosa,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/06/01 00:00:00+00,4.6240427,-74.2126431
-74.0438422999999,4.73673140000005,55,"Calle 153 con Carrera 19, sentido or→occ",Usaquén,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/01 00:00:00+00,4.7367314,-74.0438423
-74.0903876,4.63433500000002,56,"Av El Dorado (Calle 26) con Carrera 112, sentido or→occ",Engativá,Choque con objeto fijo,Automóvil particular (1) - Puente vehicular / peatonal (1),Sin lesionados,2025/06/01 00:00:00+00,4.634335,-74.0903876
-74.1351657,4.66027400000007,57,"Av Ciudad de Cali con Calle 96, sentido n→s",Engativá,Choque con lesionado,,Con lesionados,2025/06/01 00:00:00+00,4.660274,-74.1351657
-74.1305462999999,4.64641260000008,58,"Av Boyacá con Calle 15, sentido n→s",Kennedy,Atropello,Motociclista lesionado (1) - Acompañante lesionado (1) - Peatón lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6464126,-74.1305463
-74.0333264,4.76016740000006,59,Calle 183 con Carrera 11,Usaquén,Choque simple,Automóvil particular (3),Sin lesionados,2025/06/01 00:00:00+00,4.7601674,-74.0333264
-74.1961881,4.61840370000004,60,Calle 71 sur con Carrera 3J,Usme,Choque con objeto fijo,Taxi (1) - Andén (1),Sin lesionados,2025/06/01 00:00:00+00,4.6184037,-74.1961881
-74.1255654999999,4.60590020000006,61,"Av Primero de Mayo con Carrera 52, sentido or→occ",Puente Aranda,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6059002,-74.1255655
-74.111541,4.64384410000002,62,"Av Carrera 68 con Calle 20, sentido s→n",Fontibón,Varado,Bus SITP (1),Sin lesionados,2025/06/01 00:00:00+00,4.6438441,-74.111541
-74.1099472,4.70334830000007,63,Carrera 94 con Calle 75,Engativá,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.7033483,-74.1099472
-74.0772476,4.64287400000006,64,Calle 53A con Carrera 28,Teusaquillo,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.642874,-74.0772476
-74.0849863,4.58931550000005,65,"Av Carrera 10 con Calle 6A, sentido s→n",La Candelaria,Choque simple,,Sin lesionados,2025/06/01 00:00:00+00,4.5893155,-74.0849863
-74.1404891999999,4.61537870000006,66,"Av Boyacá con Calle 36 sur, sentido n→s",Kennedy,Choque simple,,Sin lesionados,2025/06/01 00:00:00+00,4.6153787,-74.1404892
-74.0691887999999,4.63884710000002,67,"NQS con Calle 51, sentido s→n",Teusaquillo,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/06/01 00:00:00+00,4.6388471,-74.0691888
-74.0860329,4.67760950000007,68,"Av Carrera 68 con Av Chile (Calle 72), sentido s→n",Barrios Unidos,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/06/01 00:00:00+00,4.6776095,-74.0860329
-74.1001764,4.68035670000006,69,"Av Boyacá con Carrera 3J, sentido occ→or",Usme,Choque simple,,Sin lesionados,2025/06/01 00:00:00+00,4.6803567,-74.1001764
