X,Y,OBJECTID,Dirección_incidente,Localidad,Tipo_de_incidente,Actores_viales_implicados,Afectación_personas,COORDENADAY,COORDENADAX
-74.0764389999999,4.66135800000006,1,"NQS con Calle 66, sentido s→n",Barrios Unidos,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1) ,Con lesionados,4.661358,-74.076439
-74.0861829999999,4.63025700000003,2,Calle 25B con Carrera 35 ,Teusaquillo,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.630257,-74.086183
-74.1553469999999,4.54288500000007,3,Carrera 26 con Calle 74 sur,Ciudad Bolívar,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1) ,Con lesionados,4.542885,-74.155347
-74.043629,4.67184800000007,4,"Av Carrera 7 con Calle 92, sentido n→s",Chapinero,Choque simple,Taxi (1) - Automóvil particular (1) ,Sin lesionados,4.671848,-74.043629
-74.103665,4.65470500000004,5,"Av El Dorado (Calle 26) con Av Carrera 68, sentido or→occ",Engativá,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.654705,-74.103665
-74.1001439999999,4.65793700000006,6,"Av Carrera 68 con Calle 49A, sentido n→s",Engativá,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.657937,-74.100144
-74.1449949999999,4.56007500000004,7,Carrera 19B bis con Calle 64 sur,Ciudad Bolívar,Choque con lesionado,Taxi (1) - Motocicleta (1) - Motociclista lesionado (1),Con lesionados,4.560075,-74.144995
-74.150024,4.62988300000006,8,Av Américas con Carrera 78M ,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.629883,-74.150024
-74.032566,4.76482800000002,9,"Calle 188 con Carrera 11, sentido n→s",Usaquén,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.764828,-74.032566
-74.0846319999999,4.54846600000008,10,Calle 40A sur con Carrera 12A este,San Cristóbal,Atropello,Camión (1) - Peatón lesionado (1) ,Con lesionados,4.548466,-74.084632
-74.048569,4.65073600000005,11,Calle 72A bis con Av Circunvalar ,Chapinero,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.650736,-74.048569
-74.091672,4.61468600000006,12,NQS con Calle 13 ,Puente Aranda,Autolesionado,Ciclista lesionado (1)  ,Con lesionados,4.614686,-74.091672
-74.064148,4.60375500000004,13,Av Circunvalar con Calle 22 ,Santa Fe,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.603755,-74.064148
-74.1296579999999,4.56725300000005,14,"Diagonal 51B sur con Carrera 18A, sentido or→occ",Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.567253,-74.129658
-74.108398,4.71392800000007,15,Calle 83 con Carrera 96 ,Engativá,Choque con lesionado,Automóvil particular (2) - Pasajero lesionado (1) - Poste (1),Con lesionados,4.713928,-74.108398
-74.092855,4.61272000000002,16,"NQS con Calle 12, sentido n→s",Los Mártires,Choque objeto fijo con lesionado,Ciclista lesionado (1) - Andén (1) ,Con lesionados,4.61272,-74.092855
-74.097136,4.60787000000005,17,"NQS con Calle 6, sentido n→s",Puente Aranda,Atropello,Taxi (1) - Peatón (1) ,Con lesionados,4.60787,-74.097136
-74.1857899999999,4.61880000000002,18,Av Ciudad de Cali con Calle 59 sur,Bosa,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.6188,-74.18579
-74.129698,4.58612800000003,19,Carrera 33 con Calle 44 sur,Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.586128,-74.129698
-74.106486,4.54565800000006,20,Carrera 1F con Calle 48X sur,Rafael Uribe Uribe,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.545658,-74.106486
-74.114122,4.74691500000006,21,"Calle 139 con Carrera 138, sentido n→s",Suba,Choque simple,Taxi (1) - Automóvil particular (1) ,Sin lesionados,4.746915,-74.114122
-74.190104,4.60684500000002,22,Carrera 80H bis con Calle 67A sur,Bosa,Atropello,Automóvil particular (1) - Peatón lesionado (1) ,Con lesionados,4.606845,-74.190104
-74.058191,4.73831100000007,23,Calle 152B con Carrera 55 ,Suba,Choque con objeto fijo,Camioneta (1) - Separador (1) ,Sin lesionados,4.738311,-74.058191
-74.1010469999999,4.68255800000003,24,Calle 66A con Carrera 73A ,Engativá,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.682558,-74.101047
-74.0866779999999,4.74689400000005,25,Calle 150A con Carrera 95 ,Suba,Choque con objeto fijo,Automóvil particular (1) - Poste (1) ,Sin lesionados,4.746894,-74.086678
-74.1065579999999,4.70780700000006,26,Calle 80C bis con Carrera 94I ,Engativá,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.707807,-74.106558
